"","gene","spliced_depth","spliced_disp","spliced_disp_shrunk","spliced_disp_trend","unspliced_depth","unspliced_disp","unspliced_disp_shrunk","unspliced_disp_trend"
"61","Snhg6",1.6284996,4.65727173106203,4.14159983832545,4.04366361793907,0.05840274,1.2658277870556,0.739427758920841,0.66264627991639
"68","Arfgef1",0.11489773,2.74333565885885,2.25085001891151,2.16183293911799,0.05642802,0.920811216537599,0.676067971256601,0.634784944885204
"93","Lactb2",0.5592846,4.71872264992314,3.8490304883955,3.69240040134212,0.058171082,0.806564893893234,0.682302684250745,0.65941507470357
"164","Smap1",1.2458628,3.84182757018943,3.96042660674737,3.98505865378186,0.13006388,2.16138355214234,1.41974762001488,1.30313438565029
"216","Phf3",0.2040767,2.71999986562629,2.87025869065459,2.901905797367,0.078552805,0.846512084321917,0.897172879503484,0.907870711786403
"237","Prim2",0.3883211,4.04222311252204,3.56439773678967,3.47411726261831,0.11716373,1.35044448757212,1.24658446324601,1.22640530940898
"266","Fam168b",0.39693573,4.94958137919585,3.70206674407922,3.48918009114405,0.12460779,0.95287969549923,1.21130917431029,1.27206191787772
"289","Tmem131",0.23878047,5.18669791930425,3.35190106859832,3.06637731318894,0.30759525,2.43342039779274,1.88661598543332,1.79119176214408
"305","Mitd1",0.14617221,1.86257151513229,2.37607338741732,2.49703772488868,0.2895935,5.52354528313032,2.14170726102474,1.76542954837614
"309","Rev1",0.15314515,2.86866368806809,2.60813276476865,2.55797966865489,0.2603707,2.32633196969081,1.80769290308135,1.71705586758719
"469","Clk1",0.34115508,2.42176245260547,3.19416428334008,3.3796770836611,0.054674968,0.886815124470356,0.649425439159773,0.609447673295268
"471","Orc2",1.1482384,4.87363393372487,4.10522312584611,3.96406243849295,0.112545915,0.969521547786432,1.15421702489338,1.19600034322135
"492","Wdr12",3.061654,5.80801202690595,4.37963954032128,4.1346469247787,0.12358228,1.25883428626352,1.26478638664139,1.2660036653104
"528","Klf7",0.16275279,0.955346750466712,0.955346750466712,2.63545696721371,0.07561215,0.516175658491283,0.801092086781608,0.876213875956703
"579","Ikzf2",0.11307533,0.626805087647223,0.626805087647223,2.13848612483665,0.10660895,0.500405088656117,0.500405088656117,1.15432017129705
"592","Fn1",1.0460869,0.520879556260366,0.520879556260366,3.93805165302311,0.066703245,0.194330128124925,0.194330128124925,0.77199979666955
"620","Usp37",0.12100453,2.95722034376535,2.3449564057692,2.23660232397738,0.2528009,2.20193432285427,1.77872107910229,1.70295824194197
"661","Farsb",0.7341785,4.26525616853456,3.88877162951203,3.81617315670598,1.2626748,5.39881067585211,2.49974400744642,2.13648528377598
"721","Trip12",0.3626333,4.86820879994655,3.63555116200373,3.42540404624848,0.08406511,1.49879624815467,1.03869783209689,0.963856208014551
"745","Ncl",27.258268,5.20639337740587,4.38016191533492,4.22849345251176,0.06460992,1.34210373721293,0.823642102378892,0.745581462423853
"752","Pde6d",0.18258697,2.83484876770787,2.78521648496643,2.77520201096063,0.27359393,3.54813462077597,1.96326361382146,1.74005720114683
"808","Ndufa10",3.5058768,6.50352888114724,4.47625339718754,4.14791412188964,0.09951253,0.899340770273546,1.0633263096206,1.10027461068287
"830","Hdlbp",0.79555345,3.62422083026011,3.80860341632801,3.84734141544057,0.073025465,0.879784966195512,0.852697688376973,0.847276933419562
"833","Dtymk",2.2322206,4.6085826689135,4.17861713412631,4.09598485509703,0.53927433,3.33642024029135,2.16280788095664,1.9798167503429
"945","Epb41l5",0.118454605,2.03805835365367,2.17661947203011,2.20601281683391,0.11007725,1.4036252547288,1.21437905420763,1.17903725915536
"963","Ddx18",2.732226,5.88104096881378,4.37782008085865,4.12206169281476,0.0669015,1.05059714875,0.815517856839396,0.774462358355825
"1001","Mcm6",2.4579701,6.55924623518555,4.44781314318099,4.10905137841317,0.09556748,0.980955071229382,1.05276053113955,1.06803712335708
"1035","Srgap2",0.0514062,1.44100929549049,1.01114413046878,0.940669917016957,0.09044351,1.34916854407793,1.07262039086112,1.02359990547668
"1060","Snrpe",8.644967,9.23757500743994,4.80248332400383,4.20271735177582,0.05049218,1.17133940953366,0.622041246646157,0.546720680610328
"1077","Tmem183a",1.9019266,8.96911856171809,4.65419308756309,4.07139149335984,0.060099922,1.49085532537722,0.782413645958309,0.686017881820485
"1093","Ipo9",0.23362952,6.32634301313667,3.44607428808215,3.04453834691581,0.096312664,1.22364107078592,1.09820984451394,1.07425373969153
"1160","Cdc73",0.30703408,3.93885710778636,3.39658488517298,3.29551989472582,0.072960414,0.769930741727307,0.833043217743655,0.846535683687434
"1224","Smg7",0.13022953,1.82322745252423,2.2433793638168,2.34028788396041,0.09744462,0.895849786127354,1.0492182483851,1.08358221919344
"1229","Lamc1",0.10089686,1.4806004616195,1.87608637943485,1.96888415875769,0.0833235,0.63346822144963,0.892065902931028,0.956568443484111
"1260","Tor1aip1",0.23800634,5.07824961082874,3.33700115195234,3.06314569509827,0.114946306,1.24068801079434,1.21682482426286,1.21201497412111
"1270","Ralgps2",0.15802956,2.88714472707487,2.64507400264009,2.59825706326957,0.05505305,0.596284194964969,0.611755989569794,0.614960141473014
"1328","Prrc2c",1.151835,2.58257047548707,3.68718684346273,3.96489698937043,0.20801283,2.17818446464646,1.68766114300969,1.60209249450604
"1374","Pou2f1",0.05861685,3.07287901948813,1.34073454538785,1.1321023298881,0.15991539,1.01453348004359,1.36046326273089,1.44434857438845
"1392","Uck2",1.4639174,4.92373944603151,4.16229999790897,4.02211147145004,0.19758554,1.5309102785946,1.5659705556638,1.57321846999711
"1421","Dusp12",0.7169206,4.50882362436005,3.91725826203162,3.80649953528671,0.06950227,0.932279739251793,0.82624304199177,0.806146369383076
"1540","Smyd3",0.1249017,2.94503227859317,2.38249161333195,2.28169505992846,0.18230028,1.31936836597117,1.48891613587754,1.52608089557595
"1542","Tfb2m",0.29799035,4.37085751646091,3.43508951858852,3.2703999267114,0.050027374,0.612564805816734,0.551280527564341,0.539556260938308
"1544","Ahctf1",0.267966,4.17648243104571,3.32730081933885,3.17658231839686,0.19408916,2.58056014786391,1.70152078658545,1.56296975021181
"1557","H3f3a",7.3170066,7.30586409781749,4.60915403372261,4.19589298285891,0.07357519,0.844710151499517,0.852016479702882,0.853514219484569
"1564","Nvl",0.33079767,4.05547249832449,3.4651519088754,3.35575124893876,0.16058199,2.31016503085137,1.56636759818378,1.44703881563299
"1565","Wdr26",0.6814334,4.40093413740048,3.8830420867233,3.78515535929704,0.12957239,1.27902729205636,1.29676536489309,1.30041282719065
"1575","Enah",0.077661045,1.25287872690357,1.5071704655233,1.56505159133069,0.08709492,0.537191351981096,0.537191351981096,0.992877281487041
"1583","Fbxo28",0.3492003,5.09620010047402,3.63894156084178,3.39739118673081,0.09173618,1.16329170630978,1.05577196805615,1.03509636807757
"1636","Cenpf",1.0128791,1.4871661464279,1.4871661464279,3.92850906358176,0.053225994,0.507192459579084,0.573521579712614,0.58807819445283
"1658","Dtl",0.2550525,2.63466994430087,3.04035218423891,3.13045911609339,0.06760347,0.801969477025228,0.786287580908254,0.783127370189023
"1711","Tcea1",0.49248847,5.29734005891481,3.86445782363441,3.62373183385452,0.06290347,0.754276076033556,0.728601887261702,0.723474344597198
"1718","Rb1cc1",0.16087721,3.33327091514605,2.72983119363833,2.62088353568749,0.074552715,1.16535360320315,0.909344621349081,0.864488036071685
"1753","Cspp1",0.08197449,2.30567248326519,1.74562736455766,1.64932814577701,0.20015277,1.64092437859873,1.59062369821882,1.58055658990326
"1785","Terf1",0.63135636,3.03780912334932,3.61953576516169,3.75120330033307,0.08403484,1.8945855798704,1.08048165279142,0.963560188964311
"1952","Eif5b",4.9103694,5.80097257247797,4.41349847632749,4.174193030333,0.07184012,1.00061020492623,0.859842953066537,0.833663953761245
"1967","Rpl31",14.33063,7.86693892543559,4.68740156778257,4.21767458147813,0.101761304,1.47558817492181,1.17174908697766,1.11793030204867
"1970","Cnot11",0.4224122,6.30561698930613,3.89493227080222,3.53046196364447,0.6993135,5.05932048729167,2.38023230038472,2.04097135768362
"1995","Mrps9",1.1186975,7.76021485797971,4.43521477717063,3.95701177840474,0.08256559,1.11142191773733,0.974776531457076,0.949043726638679
"2013","Tpp2",0.42634013,7.86017879810995,4.04874369628252,3.5364277281308,0.07481607,1.34005019623022,0.933738263677741,0.867419025407856
"2030","Wdr75",0.8812957,4.68970450953736,4.00996442970128,3.88393615878772,0.12921767,2.47136205185548,1.44799920493828,1.29843931576108
"2087","Hspe1",41.31196,6.46183273031889,4.54705809145443,4.23258049029485,0.27397972,1.75565913775364,1.74322433762915,1.74069930693808
"2089","Mob4",1.3375124,4.80230492153178,4.12756174829919,4.00206139387384,0.068991154,0.511330572299221,0.741595785672723,0.800009885258338
"2112","Bzw1",3.9112723,5.5907712684383,4.37134622057286,4.15741771518286,0.051912088,0.914922104327515,0.61610159029477,0.568369278656945
"2136","Nop58",2.9316888,4.22104810150804,4.14529584929484,4.13001517615617,1.1391933,4.06978409188764,2.37075736686935,2.12337795767022
"2148","Cyp20a1",0.35793054,7.21650391840042,3.87718785368881,3.41581034664563,0.101660036,0.693647205175762,1.03050793207201,1.11714608095578
"2150","Abi2",0.087834835,1.8493113800807,1.77196016586546,1.75658739036674,0.07282601,0.450376780280569,0.450376780280569,0.845002031736134
"2206","Creb1",0.2648717,6.40330711549601,3.56707449570594,3.16588015737299,0.064839356,0.685985823580157,0.737535415868372,0.748514437955873
"2214","Pikfyve",0.054802295,1.03547235211318,1.03314989358404,1.03267690810208,0.06582585,1.30917082110525,0.834265072729224,0.761019884189586
"2263","Rpl37a",30.264229,7.83156699966777,4.69490200034256,4.22968633922563,0.2094243,2.22106842364859,1.69651372613422,1.60581798413622
"2275","Arpc2",4.9601884,5.53000594807265,4.37845619096454,4.17485400740901,0.10281555,1.54656382525273,1.18821841812901,1.12603471470597
"2286","Cnot9",0.40074527,5.74449400940667,3.80250349854231,3.49565459910263,0.060269043,0.822801357973252,0.709443305556495,0.688317886053015
"2290","Ttll4",0.097121455,2.70415520919539,2.02677451585256,1.91103093425653,0.06832333,1.23442023074073,0.853766367070743,0.791925849172223
"2302","Stk16",1.1622204,6.24005610818403,4.28361847923332,3.96727878010316,0.10725496,7.67649777260315,1.59649157597416,1.15900475594315
"2397","Cab39",0.34018427,4.46560539340579,3.54110282150579,3.37748932409461,0.06349557,0.649707982070609,0.716713106306068,0.731203760985297
"2402","Psmd1",2.3379898,5.59954408314249,4.32440445729528,4.10241580856749,0.19872741,1.73009336898174,1.60152418212157,1.57650155694113
